Div;Date;HomeTeam;AwayTeam;FTR;HS;AS;HY;AY;HR;AR
D1;22.02.14;Hamburg;Dortmund;H;13;15;2;2;0;0
D1;22.02.14;M'gladbach;Hoffenheim;D;13;19;0;1;0;0
D1;22.02.14;Nurnberg;Braunschweig;H;6;22;4;2;1;0
D1;22.02.14;Stuttgart;Hertha;A;14;9;0;1;0;1
D1;22.02.14;Wolfsburg;Leverkusen;H;9;18;1;4;0;0
D1;23.02.14;Ein Frankfurt;Werder Bremen;D;21;3;1;3;0;1
D1;23.02.14;Hannover;Bayern Munich;A;8;14;2;1;0;0
D1;28.02.14;Hertha;Freiburg;D;9;7;0;0;0;0
D1;01.03.14;Augsburg;Hannover;D;16;10;2;3;0;0
D1;01.03.14;Bayern Munich;Schalke 04;H;22;10;1;0;0;1
D1;01.03.14;Braunschweig;M'gladbach;D;20;12;1;3;0;0
D1;01.03.14;Dortmund;Nurnberg;H;28;4;0;2;0;0
D1;01.03.14;Leverkusen;Mainz;A;19;9;4;1;0;0
D1;01.03.14;Werder Bremen;Hamburg;H;15;11;2;2;0;0
D1;02.03.14;Ein Frankfurt;Stuttgart;H;13;13;1;1;0;0
D1;02.03.14;Hoffenheim;Wolfsburg;H;17;6;0;2;0;1
D1;08.03.14;Hamburg;Ein Frankfurt;D;15;7;3;3;0;0
D1;08.03.14;Hannover;Leverkusen;D;19;9;1;1;0;0
D1;08.03.14;M'gladbach;Augsburg;A;15;19;0;0;0;0
D1;08.03.14;Nurnberg;Werder Bremen;A;15;12;3;4;0;0
D1;08.03.14;Schalke 04;Hoffenheim;H;24;10;3;3;0;0
D1;08.03.14;Stuttgart;Braunschweig;D;14;11;2;3;0;0
D1;08.03.14;Wolfsburg;Bayern Munich;A;12;18;1;0;0;0
D1;09.03.14;Freiburg;Dortmund;A;10;12;1;2;0;0
D1;09.03.14;Mainz;Hertha;D;16;12;2;2;0;0
D1;14.03.14;Augsburg;Schalke 04;A;21;10;3;5;0;0
D1;15.03.14;Bayern Munich;Leverkusen;H;23;6;2;3;0;0
D1;15.03.14;Braunschweig;Wolfsburg;D;8;11;1;4;0;0
D1;15.03.14;Dortmund;M'gladbach;A;25;7;1;0;0;1
D1;15.03.14;Hertha;Hannover;A;16;7;1;2;0;0
D1;15.03.14;Hoffenheim;Mainz;A;22;11;1;1;0;0
D1;15.03.14;Werder Bremen;Stuttgart;D;10;16;2;3;0;0
D1;16.03.14;Ein Frankfurt;Freiburg;A;26;7;2;5;0;0
D1;16.03.14;Hamburg;Nurnberg;H;26;9;0;2;0;0
D1;21.03.14;Freiburg;Werder Bremen;H;14;7;1;2;0;0
D1;22.03.14;Hannover;Dortmund;A;9;15;1;1;0;0
D1;22.03.14;Mainz;Bayern Munich;A;4;23;1;0;0;0
D1;22.03.14;M'gladbach;Hertha;H;8;8;1;1;0;0
D1;22.03.14;Schalke 04;Braunschweig;H;32;11;1;3;0;0
D1;22.03.14;Stuttgart;Hamburg;H;12;6;1;0;0;1
D1;22.03.14;Wolfsburg;Augsburg;D;10;12;1;1;1;0
D1;23.03.14;Leverkusen;Hoffenheim;A;12;12;1;2;0;0
D1;23.03.14;Nurnberg;Ein Frankfurt;A;13;23;0;1;1;0
D1;25.03.14;Braunschweig;Mainz;H;14;12;2;1;0;0
D1;25.03.14;Dortmund;Schalke 04;D;18;8;2;2;0;0
D1;25.03.14;Hertha;Bayern Munich;A;4;13;1;0;0;0
D1;25.03.14;Werder Bremen;Wolfsburg;A;6;19;2;1;0;0
D1;26.03.14;Augsburg;Leverkusen;A;22;13;2;2;0;0
D1;26.03.14;Ein Frankfurt;M'gladbach;H;14;9;3;1;0;0
D1;26.03.14;Hamburg;Freiburg;D;21;11;1;2;0;0
D1;26.03.14;Hoffenheim;Hannover;H;20;8;1;1;0;1
D1;26.03.14;Nurnberg;Stuttgart;H;11;13;1;1;0;0
D1;28.03.14;Schalke 04;Hertha;H;13;11;1;1;0;0
D1;29.03.14;Bayern Munich;Hoffenheim;D;11;20;1;2;0;0
D1;29.03.14;Freiburg;Nurnberg;H;14;9;2;3;0;1
D1;29.03.14;Leverkusen;Braunschweig;D;15;9;2;1;0;0
D1;29.03.14;Mainz;Augsburg;H;14;12;1;2;0;0
D1;29.03.14;Stuttgart;Dortmund;A;11;17;0;2;1;0
D1;29.03.14;Wolfsburg;Ein Frankfurt;H;22;11;2;4;0;0
D1;30.03.14;Hannover;Werder Bremen;A;9;11;1;1;0;0
D1;30.03.14;M'gladbach;Hamburg;H;17;17;0;1;0;0
D1;04.04.14;Hamburg;Leverkusen;H;18;19;1;1;0;0
D1;05.04.14;Augsburg;Bayern Munich;H;11;16;3;2;0;0
D1;05.04.14;Dortmund;Wolfsburg;H;10;19;2;1;0;0
D1;05.04.14;Ein Frankfurt;Mainz;H;14;17;3;4;0;0
D1;05.04.14;Nurnberg;M'gladbach;A;14;15;1;2;0;0
D1;05.04.14;Stuttgart;Freiburg;H;12;18;2;1;0;0
D1;05.04.14;Werder Bremen;Schalke 04;D;19;9;1;2;0;0
D1;06.04.14;Braunschweig;Hannover;H;11;11;2;2;0;1
D1;06.04.14;Hertha;Hoffenheim;D;11;11;1;2;0;0
D1;11.04.14;Schalke 04;Ein Frankfurt;H;22;10;1;0;0;0
D1;12.04.14;Bayern Munich;Dortmund;A;14;9;2;2;1;0
D1;12.04.14;Freiburg;Braunschweig;H;18;13;2;4;0;0
D1;12.04.14;Hannover;Hamburg;H;31;5;0;1;0;0
D1;12.04.14;Mainz;Werder Bremen;H;23;9;0;4;0;0
D1;12.04.14;M'gladbach;Stuttgart;D;14;17;1;3;0;0
D1;12.04.14;Wolfsburg;Nurnberg;H;24;5;0;2;0;0
D1;13.04.14;Hoffenheim;Augsburg;H;26;23;1;1;0;0
D1;13.04.14;Leverkusen;Hertha;H;17;9;1;1;0;0
D1;17.04.14;Ein Frankfurt;Hannover;A;14;16;4;4;0;0
D1;19.04.14;Augsburg;Hertha;D;10;13;1;3;0;0
D1;19.04.14;Braunschweig;Bayern Munich;A;7;12;2;1;0;0
D1;19.04.14;Dortmund;Mainz;H;30;9;1;1;0;1
D1;19.04.14;Freiburg;M'gladbach;H;15;14;2;1;0;1
D1;19.04.14;Hamburg;Wolfsburg;A;14;16;1;0;0;1
D1;19.04.14;Werder Bremen;Hoffenheim;H;12;14;1;3;0;0
D1;20.04.14;Nurnberg;Leverkusen;A;9;15;1;1;0;0
D1;20.04.14;Stuttgart;Schalke 04;H;12;14;2;3;0;0
D1;25.04.14;Hannover;Stuttgart;D;9;6;2;2;0;0
D1;26.04.14;Bayern Munich;Werder Bremen;H;23;7;1;1;0;0
