"idMatch_results","idStadium","idTeam","idWeek","Goals","Goals_Against","numerGames","Win","Shots","Shots_On_Target","Red_Cards","Yellow_Cards"
"6716","17","1","212","0","2","1","0","10","3","0","3"
"6717","10","2","212","1","5","1","0","10","4","0","1"
"6718","15","21","212","1","1","1","0","3","0","0","3"
"6719","18","12","212","3","0","1","1","12","4","0","2"
"6720","5","2","213","2","0","1","1","16","6","0","1"
"6721","21","26","213","2","0","1","1","12","5","0","3"
"6722","11","17","213","5","1","1","1","16","6","0","3"
"6723","13","15","213","0","0","1","0","10","3","0","2"
"6724","18","3","213","1","2","1","0","9","5","1","4"
"6725","7","10","213","1","0","1","1","13","4","0","2"
"6726","1","4","213","2","4","1","0","7","3","0","0"
"6727","12","14","213","1","0","1","1","8","4","0","2"
"6728","16","27","213","0","1","1","0","11","6","0","1"
"6729","4","13","214","1","0","1","1","20","5","0","4"
"6730","10","12","214","0","4","1","0","4","2","0","1"
"6731","26","1","214","1","0","1","1","19","6","0","1"
"6732","14","11","214","2","1","1","1","5","4","0","4"
"6733","27","3","214","1","0","1","1","5","1","0","3"
"6734","15","16","214","3","4","1","0","12","6","0","4"
"6735","5","7","214","3","1","1","1","14","8","0","1"
"6736","2","21","214","1","5","1","0","4","3","0","2"
"6737","17","18","214","1","3","1","0","13","5","1","3"
"6738","11","10","215","0","0","1","0","10","2","0","2"
"6739","21","5","215","3","3","1","0","10","6","0","3"
"6740","12","4","215","0","0","1","0","10","4","0","1"
"6741","3","17","215","4","1","1","1","11","7","0","1"
"6742","18","27","215","1","1","1","0","7","2","0","2"
"6743","7","2","215","3","1","1","1","11","6","0","0"
"6744","1","15","215","1","2","1","0","15","6","0","2"
"6745","13","14","215","2","1","1","1","5","2","0","0"
"6746","16","26","215","0","2","1","0","17","5","0","2"
"6747","14","3","216","3","1","1","1","12","4","0","3"
"6748","10","16","216","0","4","1","0","5","2","0","0"
"6749","26","13","216","1","1","1","0","8","3","0","2"
"6750","4","11","216","0","0","1","0","17","9","0","3"
"6751","15","12","216","2","1","1","1","17","8","0","2"
"6752","5","1","216","0","2","1","0","8","0","1","3"
"6753","17","27","216","0","0","1","0","14","2","0","6"
"6754","21","7","216","2","1","1","1","15","4","0","4"
"6755","2","18","216","2","3","1","0","9","3","0","4"
"6756","13","2","217","1","3","1","0","21","7","0","1"
"6757","11","15","217","3","1","1","1","17","11","0","1"
"6758","12","5","217","0","0","1","0","7","1","0","1"
"6759","17","14","217","1","2","1","0","14","8","0","1"
"6760","18","10","217","3","1","1","1","24","8","0","0"
"6761","16","21","217","4","0","1","1","13","6","0","1"
"6762","1","7","217","0","6","1","0","9","2","0","2"
"6763","3","4","217","0","1","1","0","7","0","0","1"
"6764","27","26","217","1","3","1","0","8","2","0","3"
"6765","26","12","218","0","0","1","0","12","2","0","1"
"6766","10","3","218","0","2","1","0","4","1","0","3"
"6767","14","27","218","0","4","1","0","11","5","0","3"
"6768","4","17","218","3","3","1","0","16","8","0","1"
"6769","5","11","218","1","2","1","0","15","5","1","2"
"6770","7","13","218","3","1","1","1","13","6","0","1"
"6771","21","1","218","0","0","1","0","17","3","1","2"
"6772","2","16","218","1","4","1","0","8","3","0","0"
"6773","15","18","218","1","1","1","0","8","3","0","2"
"6774","18","14","219","1","3","1","0","7","1","0","1"
"6775","12","21","219","1","0","1","1","22","8","0","4"
"6776","13","5","219","3","1","1","1","11","6","0","1"
"6777","3","15","219","1","2","1","0","8","2","1","3"
"6778","27","4","219","1","1","1","0","7","2","0","1"
"6779","17","10","219","1","3","1","0","22","6","0","2"
"6780","1","2","219","2","1","1","1","14","6","0","2"
"6781","11","26","219","1","0","1","1","19","4","0","3"
"6782","16","7","219","1","1","1","0","7","2","0","2"
"6783","5","16","220","0","0","1","0","11","2","0","1"
"6784","10","27","220","0","2","1","0","9","4","0","1"
"6785","26","3","220","4","0","1","1","9","5","0","1"
"6786","4","14","220","0","1","1","0","19","2","0","3"
"6787","15","17","220","0","5","1","0","6","2","0","2"
"6788","7","12","220","1","1","1","0","12","3","0","2"
"6789","1","13","220","1","1","1","0","5","4","0","4"
"6790","21","18","220","1","2","1","0","15","5","0","1"
"6791","2","11","220","1","4","1","0","3","2","1","0"
"6792","18","4","221","0","1","1","0","18","1","0","2"
"6793","11","7","221","1","2","1","0","11","4","0","5"
"6794","12","2","221","1","2","1","0","14","3","0","1"
"6795","13","21","221","1","0","1","1","17","7","0","2"
"6796","14","10","221","1","0","1","1","20","11","0","0"
"6797","27","15","221","1","0","1","1","9","2","0","3"
"6798","16","1","221","1","3","1","0","17","7","0","1"
"6799","3","5","221","0","2","1","0","5","0","0","0"
"6800","17","26","221","2","3","1","0","15","6","0","4"
"6801","13","10","222","2","1","1","1","20","5","0","2"
"6802","12","16","222","3","1","1","1","16","8","0","1"
"6803","14","26","222","2","1","1","1","13","5","0","5"
"6804","3","21","222","0","0","1","0","11","5","0","3"
"6805","4","15","222","1","1","1","0","17","8","0","2"
