Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HS;AS;HST;AST;HY;AY;HR;AR
D1;25.03.14;Braunschweig;Mainz;3;1;H;14;12;3;5;2;1;0;0
D1;25.03.14;Dortmund;Schalke 04;0;0;D;18;8;6;4;2;2;0;0
D1;25.03.14;Hertha;Bayern Munich;1;3;A;4;13;2;6;1;0;0;0
D1;25.03.14;Werder Bremen;Wolfsburg;1;3;A;6;19;2;9;2;1;0;0
D1;26.03.14;Augsburg;Leverkusen;1;3;A;22;13;3;7;2;2;0;0
D1;26.03.14;Ein Frankfurt;M'gladbach;1;0;H;14;9;4;2;3;1;0;0
D1;26.03.14;Hamburg;Freiburg;1;1;D;21;11;5;4;1;2;0;0
D1;26.03.14;Hoffenheim;Hannover;3;1;H;20;8;8;1;1;1;0;1
D1;26.03.14;Nurnberg;Stuttgart;2;0;H;11;13;5;5;1;1;0;0
D1;28.03.14;Schalke 04;Hertha;2;0;H;13;11;4;1;1;1;0;0
D1;29.03.14;Bayern Munich;Hoffenheim;3;3;D;11;20;6;9;1;2;0;0
D1;29.03.14;Freiburg;Nurnberg;3;2;H;14;9;7;2;2;3;0;1
D1;29.03.14;Leverkusen;Braunschweig;1;1;D;15;9;4;2;2;1;0;0
D1;29.03.14;Mainz;Augsburg;3;0;H;14;12;7;4;1;2;0;0
D1;29.03.14;Stuttgart;Dortmund;2;3;A;11;17;3;5;0;2;1;0
D1;29.03.14;Wolfsburg;Ein Frankfurt;2;1;H;22;11;9;4;2;4;0;0
D1;30.03.14;Hannover;Werder Bremen;1;2;A;9;11;4;8;1;1;0;0
D1;30.03.14;M'gladbach;Hamburg;3;1;H;17;17;9;7;0;1;0;0
D1;04.04.14;Hamburg;Leverkusen;2;1;H;18;19;5;8;1;1;0;0
D1;05.04.14;Augsburg;Bayern Munich;1;0;H;11;16;7;2;3;2;0;0
D1;05.04.14;Dortmund;Wolfsburg;2;1;H;10;19;5;3;2;1;0;0
D1;05.04.14;Ein Frankfurt;Mainz;2;0;H;14;17;7;5;3;4;0;0
D1;05.04.14;Nurnberg;M'gladbach;0;2;A;14;15;3;6;1;2;0;0
D1;05.04.14;Stuttgart;Freiburg;2;0;H;12;18;5;8;2;1;0;0
D1;05.04.14;Werder Bremen;Schalke 04;1;1;D;19;9;5;5;1;2;0;0
D1;06.04.14;Braunschweig;Hannover;3;0;H;11;11;3;2;2;2;0;1
D1;06.04.14;Hertha;Hoffenheim;1;1;D;11;11;5;3;1;2;0;0
D1;11.04.14;Schalke 04;Ein Frankfurt;2;0;H;22;10;8;3;1;0;0;0
D1;12.04.14;Bayern Munich;Dortmund;0;3;A;14;9;3;6;2;2;1;0
D1;12.04.14;Freiburg;Braunschweig;2;0;H;18;13;8;4;2;4;0;0
D1;12.04.14;Hannover;Hamburg;2;1;H;31;5;15;3;0;1;0;0
D1;12.04.14;Mainz;Werder Bremen;3;0;H;23;9;5;2;0;4;0;0
D1;12.04.14;M'gladbach;Stuttgart;1;1;D;14;17;4;4;1;3;0;0
D1;12.04.14;Wolfsburg;Nurnberg;4;1;H;24;5;8;1;0;2;0;0
D1;13.04.14;Hoffenheim;Augsburg;2;0;H;26;23;9;8;1;1;0;0
D1;13.04.14;Leverkusen;Hertha;2;1;H;17;9;4;2;1;1;0;0
D1;17.04.14;Ein Frankfurt;Hannover;2;3;A;14;16;6;7;4;4;0;0
D1;19.04.14;Augsburg;Hertha;0;0;D;10;13;0;4;1;3;0;0
D1;19.04.14;Braunschweig;Bayern Munich;0;2;A;7;12;1;3;2;1;0;0
D1;19.04.14;Dortmund;Mainz;4;2;H;30;9;11;2;1;1;0;1
D1;19.04.14;Freiburg;M'gladbach;4;2;H;15;14;7;4;2;1;0;1
D1;19.04.14;Hamburg;Wolfsburg;1;3;A;14;16;3;7;1;0;0;1
D1;19.04.14;Werder Bremen;Hoffenheim;3;1;H;12;14;7;3;1;3;0;0
D1;20.04.14;Nurnberg;Leverkusen;1;4;A;9;15;6;7;1;1;0;0
D1;20.04.14;Stuttgart;Schalke 04;3;1;H;12;14;4;3;2;3;0;0
D1;25.04.14;Hannover;Stuttgart;0;0;D;9;6;2;3;2;2;0;0
D1;26.04.14;Bayern Munich;Werder Bremen;5;2;H;23;7;11;3;1;1;0;0
D1;26.04.14;Hertha;Braunschweig;2;0;H;20;7;11;1;0;0;0;0
