Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTR;HS;AS;HST;AST;HY;AY;HR;AR
D1;06.11.10;Hamburg;Hoffenheim;2;1;H;D;18;13;2;6;1;4;0;0
D1;06.11.10;M'gladbach;Bayern Munich;3;3;D;A;9;16;4;6;1;0;0;0
D1;06.11.10;Nurnberg;FC Koln;3;1;H;H;20;7;6;4;1;1;0;0
D1;07.11.10;Hannover;Dortmund;0;4;A;A;7;19;2;13;0;2;1;0
D1;07.11.10;Leverkusen;Kaiserslautern;3;1;H;D;25;12;7;4;1;3;0;0
D1;07.11.10;Stuttgart;Werder Bremen;6;0;H;H;16;11;12;4;1;0;0;0
D1;12.11.10;Dortmund;Hamburg;2;0;H;D;11;7;4;1;0;1;0;0
D1;13.11.10;FC Koln;M'gladbach;0;4;A;D;17;19;3;4;0;2;0;0
D1;13.11.10;Kaiserslautern;Stuttgart;3;3;D;A;16;12;5;7;3;2;0;0
D1;13.11.10;Mainz;Hannover;0;1;A;A;12;12;2;5;0;1;0;1
D1;13.11.10;St Pauli;Leverkusen;0;1;A;D;8;23;1;8;3;4;0;0
D1;13.11.10;Werder Bremen;Ein Frankfurt;0;0;D;D;18;13;7;1;1;1;0;0
D1;13.11.10;Wolfsburg;Schalke 04;2;2;D;H;17;13;4;5;2;3;1;0
D1;14.11.10;Bayern Munich;Nurnberg;3;0;H;H;13;12;7;2;1;1;0;0
D1;14.11.10;Hoffenheim;Freiburg;0;1;A;D;12;10;7;3;0;1;0;0
D1;20.11.10;Ein Frankfurt;Hoffenheim;0;4;A;A;8;18;3;9;4;4;0;0
D1;20.11.10;Freiburg;Dortmund;1;2;A;H;9;18;2;8;0;1;0;0
D1;20.11.10;Hannover;Hamburg;3;2;H;D;14;11;5;4;2;4;0;0
D1;20.11.10;Leverkusen;Bayern Munich;1;1;D;D;17;8;8;1;2;2;0;0
D1;20.11.10;M'gladbach;Mainz;2;3;A;D;8;16;4;8;1;1;0;0
D1;20.11.10;Nurnberg;Kaiserslautern;1;3;A;A;18;10;6;7;1;3;0;1
D1;20.11.10;Schalke 04;Werder Bremen;4;0;H;H;14;10;8;2;1;1;0;1
D1;21.11.10;St Pauli;Wolfsburg;1;1;D;H;18;3;5;2;0;3;0;0
D1;21.11.10;Stuttgart;FC Koln;0;1;A;D;20;18;5;8;4;3;0;0
D1;26.11.10;Mainz;Nurnberg;3;0;H;H;10;13;4;3;4;2;0;0
D1;27.11.10;Bayern Munich;Ein Frankfurt;4;1;H;D;25;8;8;4;1;0;0;0
D1;27.11.10;Dortmund;M'gladbach;4;1;H;D;22;8;8;4;1;1;0;0
D1;27.11.10;Hamburg;Stuttgart;4;2;H;H;15;14;8;3;2;3;0;1
D1;27.11.10;Hannover;Freiburg;3;0;H;H;12;13;8;2;0;1;0;0
D1;27.11.10;Hoffenheim;Leverkusen;2;2;D;A;15;7;6;2;1;3;0;0
D1;27.11.10;Kaiserslautern;Schalke 04;5;0;H;H;15;6;8;3;3;2;0;0
D1;28.11.10;FC Koln;Wolfsburg;1;1;D;D;13;11;3;1;2;2;0;0
D1;28.11.10;Werder Bremen;St Pauli;3;0;H;H;14;16;8;4;2;0;1;1
D1;03.12.10;St Pauli;Kaiserslautern;1;0;H;D;16;12;6;4;1;3;0;0
D1;04.12.10;Ein Frankfurt;Mainz;2;1;H;D;15;10;4;2;0;2;0;0
D1;04.12.10;Freiburg;Hamburg;1;0;H;H;10;12;4;6;1;0;0;0
D1;04.12.10;M'gladbach;Hannover;1;2;A;H;15;12;3;4;2;1;1;0
D1;04.12.10;Schalke 04;Bayern Munich;2;0;H;D;12;17;4;5;0;1;0;0
D1;04.12.10;Stuttgart;Hoffenheim;1;1;D;D;19;11;5;7;3;2;0;1
D1;04.12.10;Wolfsburg;Werder Bremen;0;0;D;D;11;15;4;7;3;1;0;0
D1;05.12.10;Leverkusen;FC Koln;3;2;H;D;11;14;5;5;1;1;0;0
D1;05.12.10;Nurnberg;Dortmund;0;2;A;A;7;16;1;7;2;2;0;0
D1;10.12.10;Hannover;Stuttgart;2;1;H;H;16;22;8;3;2;3;0;0
D1;11.12.10;Bayern Munich;St Pauli;3;0;H;H;22;9;10;1;0;1;0;1
D1;11.12.10;Dortmund;Werder Bremen;2;0;H;H;11;8;5;2;2;5;0;0
D1;11.12.10;FC Koln;Ein Frankfurt;1;0;H;D;10;14;5;3;5;3;0;0
D1;11.12.10;Hamburg;Leverkusen;2;4;A;A;8;16;3;8;3;3;0;0
